,Property_ID,Prop_Type,Tax_Key,Address,District_Num,Nbhd_Num,Style,Unit_Count,Fbath_Count,Hbath_Count,Lot_Size,Sale_Date,Sale_Price,Ext_Wall,Story_Count,Year_Built,Room_Count,Finished_Sqft,Bdrm_Count,Condo_Project
5741,229440,Residential,5050914000,322 E ROSEDALE AV,14,4910,Dplx Bungalow,2,2,0,3390,2022-05-24,315100.0,Aluminum/Vinyl,1.5,1916.0,9.0,1648.0,3.0,
5742,229442,Residential,5050916000,312 E ROSEDALE AV,14,4910,Res O/S A & 1/2,1,1,1,3390,2022-08-24,295000.0,Aluminum/Vinyl,1.5,1918.0,6.0,1118.0,3.0,
5744,229460,Residential,5050935000,338 E MONTANA ST,14,4910,Res O/S A & 1/2,1,2,0,4500,2022-07-13,320000.0,Aluminum/Vinyl,1.5,1916.0,8.0,1580.0,3.0,
5745,229508,Residential,5051024000,214 E GAUER CR,14,4580,Ranch,1,1,0,4928,2022-01-20,157000.0,Aluminum/Vinyl,1.0,1942.0,4.0,826.0,2.0,
5746,229532,Residential,5051048000,163 E GAUER CR,14,4580,Ranch,1,1,0,5700,2022-02-01,218000.0,Aluminum/Vinyl,1.0,1942.0,8.0,826.0,4.0,
5747,229546,Residential,5051062000,126 E OKLAHOMA AV,14,4580,Cape Cod,1,1,0,6125,2022-04-15,225000.0,Aluminum/Vinyl,1.0,1948.0,9.0,1120.0,5.0,
5749,229585,Residential,5051153000,222 E DAKOTA ST,14,4910,Ranch,1,2,0,7506,2022-01-13,300000.0,Aluminum/Vinyl,1.0,2003.0,0.0,1456.0,6.0,
5752,229686,Residential,5070140000,2845 S 7TH ST,14,4180,Milwaukee Bungalow,1,1,0,3600,2022-10-24,160000.0,Aluminum/Vinyl,1.0,1925.0,8.0,1320.0,3.0,
5753,229697,Residential,5070151000,2812 S 8TH ST,14,4180,Res O/S A & 1/2,1,2,0,3600,2022-02-25,210000.0,Aluminum/Vinyl,1.0,1900.0,6.0,1986.0,3.0,
5754,229745,Residential,5070204000,2816 S 9TH PL,14,4180,Milwaukee Bungalow,1,1,1,3600,2022-08-31,215000.0,Aluminum/Vinyl,1.0,1924.0,6.0,1308.0,4.0,
5755,229757,Residential,5070309000,1005 W MONTANA ST,14,4180,Ranch,1,1,1,4880,2022-08-31,160000.0,Aluminum/Vinyl,1.0,1954.0,8.0,729.0,4.0,
5757,229860,Residential,5070471000,2912 S 9TH PL,14,4180,Duplex O/S,2,3,0,3660,2022-12-18,210000.0,Aluminum/Vinyl,1.5,1910.0,9.0,1692.0,4.0,
5758,229880,Residential,5070518000,1202 W DAKOTA ST,14,4180,Duplex O/S,2,2,0,8280,2022-07-07,195000.0,Aluminum/Vinyl,1.5,1920.0,9.0,1672.0,4.0,
5759,229882,Residential,5070520000,2857 S 12TH ST,14,4180,Res O/S A & 1/2,1,2,0,4270,2022-02-04,88000.0,Aluminum/Vinyl,1.0,1923.0,5.0,1382.0,3.0,
5760,229890,Residential,5070528000,2823 S 12TH ST,14,4180,Duplex O/S,2,0,2,3660,2022-04-25,127000.0,Asphalt/Other,2.0,1924.0,9.0,1744.0,5.0,
5761,229904,Residential,5070540000,2834 S 12TH ST,14,4180,Duplex O/S,2,2,0,3660,2022-04-29,145000.0,Aluminum/Vinyl,2.0,1924.0,8.0,1608.0,4.0,
5762,229938,Residential,5070606000,2742 S 10TH ST,14,4160,Cottage,1,1,0,3600,2022-09-21,103200.0,Asphalt/Other,1.0,1900.0,4.0,713.0,2.0,
5763,230018,Residential,5070729000,2868--A S 8TH ST,14,4180,Duplex-Cottage,2,2,0,3600,2022-04-04,100000.0,Aluminum/Vinyl,1.0,1900.0,11.0,1967.0,5.0,
5764,230068,Residential,5070785000,2909 S 7TH ST,14,4180,Milwaukee Bungalow,1,2,1,3660,2022-08-04,205000.0,Stone,1.0,1923.0,5.0,1152.0,3.0,
5765,230089,Residential,5070806000,2960 S 8TH ST,14,4180,Duplex O/S,2,2,0,3660,2022-11-01,200000.0,Aluminum/Vinyl,2.0,1916.0,8.0,1528.0,4.0,
5766,230095,Residential,5070812000,2932 S 8TH ST,14,4180,Milwaukee Bungalow,1,1,0,3660,2022-04-28,197000.0,Aluminum/Vinyl,1.0,1923.0,7.0,1234.0,4.0,
5767,230096,Residential,5070813000,2928 S 8TH ST,14,4180,Milwaukee Bungalow,1,1,1,3660,2022-11-07,140000.0,Aluminum/Vinyl,1.0,1923.0,4.0,756.0,2.0,
5768,230104,Residential,5070821000,3009-3011 S 9TH ST,14,4180,Duplex O/S,2,2,0,3660,2022-06-18,160900.0,Aluminum/Vinyl,2.0,1912.0,11.0,2704.0,7.0,
5769,230113,Residential,5070830000,3047 S 9TH ST,14,4180,Res O/S A & 1/2,1,2,1,3660,2022-03-28,250000.0,Asphalt/Other,1.0,1905.0,5.0,1227.0,3.0,
5770,230181,Residential,5070899000,3039 S 7TH ST,14,4180,Duplex O/S,2,2,0,3660,2022-12-28,90950.0,Asphalt/Other,1.5,1918.0,8.0,1525.0,4.0,
5773,230272,Residential,5071039000,2915 S 11TH ST,14,4180,Dplx Bungalow,2,3,0,4880,2022-12-02,235000.0,Aluminum/Vinyl,1.5,1926.0,10.0,1948.0,4.0,
5774,230286,Residential,5071053000,2972--A S 12TH ST,14,4180,Duplex O/S,2,2,0,3660,2022-06-27,210000.0,Aluminum/Vinyl,2.0,1922.0,12.0,1948.0,4.0,
5775,230312,Residential,5071080000,2929 S 10TH ST,14,4180,Res O/S A & 1/2,1,2,0,6466,2022-09-01,167500.0,Aluminum/Vinyl,1.0,1913.0,8.0,1482.0,4.0,
5776,230336,Residential,5071104000,2924 S 11TH ST,14,4180,Res O/S A & 1/2,1,1,1,3660,2022-02-25,184000.0,Wood,1.0,1912.0,12.0,1204.0,8.0,
5777,230361,Residential,5071130000,2968 S 10TH ST,14,4180,Duplex O/S,2,2,0,3660,2022-02-16,146000.0,Aluminum/Vinyl,2.0,1912.0,8.0,1616.0,4.0,
5778,230363,Residential,5071132000,2960 S 10TH ST,14,4180,Duplex O/S,2,2,0,3660,2022-12-06,200000.0,Asphalt/Other,2.0,1919.0,9.0,1854.0,5.0,
5779,230442,Residential,5071209000,3009 S 12TH ST,14,4180,Dplx Bungalow,2,2,0,6100,2022-02-08,257000.0,Aluminum/Vinyl,1.5,1921.0,9.0,2214.0,4.0,
5783,230539,Residential,5080035000,2840 S 15TH ST,14,4180,Milwaukee Bungalow,1,1,0,6300,2022-06-21,232000.0,Aluminum/Vinyl,1.0,1923.0,8.0,1781.0,4.0,
5784,230574,Residential,5080116000,1328-1330 W OKLAHOMA AV,14,4180,Duplex O/S,2,2,0,3600,2022-12-14,220000.0,Aluminum/Vinyl,2.0,1910.0,12.0,2240.0,6.0,
